fruit,net_mt_frozen,net_mt_aseptic,total_mt
mango,111172.25,15439.97,126612.22
unknown,511.95,67782.17,68294.12
avocado,53308.21,739.53,54047.73
orange,50.5,29349.67,29400.17
blueberry,26419.06,954.23,27373.29
passion_fruit,2645.43,23267.92,25913.35
pineapple,2265.18,21425.98,23691.16
banana,232.61,8119.83,8352.44
grape,2213.7,5986.68,8200.38
strawberry,855.89,4825.59,5681.48
mix,1219.42,458.92,1678.34
cherimoya,362.05,714.84,1076.89
peach,0.0,883.39,883.39
pomegranate,803.46,16.48,819.94
lucuma,598.18,133.21,731.39
acai,33.62,602.96,636.57
papaya,461.15,76.13,537.28
camu_camu,43.39,55.1,98.49
soursop,47.14,1.65,48.79
golden_berry,25.2,7.57,32.77
raspberry,0.0,9.88,9.88
pitaya,2.62,0.03,2.65
cherry,0.0,0.19,0.19
