Fruit,Rank,Exporter,MT
avocado,#1,VIRU,7442
avocado,#2,SUNSHINE EXPORT,6459
avocado,#3,AGROINDUSTRIAS AIB,5374
avocado,Others,31 exporters,17320
banana,#1,AGROMAR INDUSTRIAL,22
banana,#2,VIRU,11
banana,#3,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL,6
banana,Others,4 exporters,11
blueberry,#1,CAMPOSOL,7956
blueberry,#2,VIRU,2076
blueberry,#3,FRUTICAL,1676
blueberry,Others,23 exporters,8195
camu_camu,#1,AGROINDUSTRIAL DEL,23
cherimoya,#1,UNION DE NEGOCIOS CORPORATIVOS,192
cherimoya,#2,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL,19
cherimoya,#3,FUSION FOODS,13
cherimoya,Others,6 exporters,22
golden_berry,#1,FRUTOS TONGORRAPE,10
golden_berry,#2,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL,3
grape,#1,DOMINUS,1110
grape,#2,VIRU,719
grape,#3,MEBOL GF,212
lucuma,#1,AMARA FOODS,52
lucuma,#2,FUSION FOODS,30
lucuma,#3,BELMONT FOODS PERU,29
lucuma,Others,16 exporters,124
mango,#1,VIRU,14561
mango,#2,AGROINDUSTRIA FRUTOS DE ORO,9327
mango,#3,GANADERA CHAVIN DE HUANTAR,8739
mango,Others,50 exporters,55291
mix,#1,SUNSHINE EXPORT,677
mix,#2,FRUTICOLA OLMUE PERU,120
mix,#3,MEBOL,43
mix,Others,3 exporters,6
orange,#1,AGROINDUSTRIAS PEQUI,23
papaya,#1,ANDEAN SUPERFOOD SOCIEDAD COMERCIAL DE RESPONSABILIDAD,181
papaya,#2,BIO FRUTOS,16
papaya,#3,ELITE FOOD PERU,11
papaya,Others,11 exporters,33
passion_fruit,#1,MEBOL,435
passion_fruit,#2,UNION DE NEGOCIOS CORPORATIVOS,248
passion_fruit,#3,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL,160
passion_fruit,Others,30 exporters,952
pineapple,#1,PROCESADORA,467
pineapple,#2,LOS MEDANOS,238
pineapple,#3,PROCESADORA LARAN,209
pineapple,Others,15 exporters,776
pitaya,#1,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL,2
pitaya,#2,LOS MEDANOS,1
pomegranate,#1,GANADERA CHAVIN DE HUANTAR,238
pomegranate,#2,LOS MEDANOS,118
pomegranate,#3,SANTA SOFIA DEL SUR,93
pomegranate,Others,4 exporters,147
soursop,#1,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL,12
soursop,#2,LAMAS IMPORT EXPORT,7
soursop,#3,ELITE FOOD PERU,3
soursop,Others,3 exporters,1
strawberry,#1,VIRU,479
strawberry,#2,FRUTOS TROPICALES,138
strawberry,#3,MEBOL GF,24
strawberry,Others,3 exporters,8
unknown,#1,ARA FOODS INDUSTRY,59
unknown,#2,MEBOL,54
unknown,#3,AGROINDUSTRIAS AIB,45
unknown,Others,13 exporters,117
