Exporter,Total MT,Shipments,Formats
VIRU,14561,755,"chunks, cubes, halves, unknown"
AGROINDUSTRIA FRUTOS DE ORO,9327,420,"chunks, iqf, unknown"
GANADERA CHAVIN DE HUANTAR,8739,411,"chunks, cubes, iqf, unknown"
FRUTICOLA OLMUE PERU,6897,335,"broken_pieces, chunks, cubes, iqf"
SUNSHINE EXPORT,6033,287,"chunks, unknown"
AGROINDUSTRIAS AIB,5002,243,"chunks, iqf, unknown"
DOMINUS,4787,215,"chunks, unknown"
CAMPOSOL,3740,173,unknown
FRUTOS TROPICALES,3467,155,"chunks, unknown"
MEBOL,3444,215,"chunks, unknown"
PROCESADORA,2929,129,"chunks, halves, slices, unknown"
DEL ANDE ALIMENTOS,2603,118,"chunks, cubes, pulp"
LOS MEDANOS,2525,126,"chunks, unknown"
AGROMAR INDUSTRIAL,1789,76,"chunks, unknown"
ARA FOODS INDUSTRY,1680,77,"chunks, unknown"
FRUTOS TONGORRAPE,1367,63,"chunks, cubes, halves, iqf"
PULPAS Y PROCESADOS DEL AGRO PULPAGRO,1188,51,"chunks, halves, iqf"
SANTA SOFIA DEL SUR,900,38,"chunks, unknown"
PROCESADORA LARAN,873,40,chunks
CFRUITS PERU E IR,699,28,unknown
VF,670,32,"chunks, unknown"
AGROFRUTOS TRADING,587,32,chunks
FROST,579,30,chunks
DANPER TRUJILLO,571,26,unknown
QUICORNAC,457,33,"concentrate, pulp, puree, unknown"
WESTFALIA FRUIT PERU,408,17,"iqf, unknown"
EXPORTACIONES MIRSA EMPRESA INDIVIDUAL,247,46,"chunks, cubes, pulp, unknown"
PERUVIAN FOOD GROUPS,231,11,chunks
NATURANDINA DEL PERU,166,8,"chunks, unknown"
ELITE FOOD PERU,165,15,"chunks, pulp"
UNION DE NEGOCIOS CORPORATIVOS,160,38,"chunks, iqf, pulp, unknown"
PROFRUIT INDUSTRY,144,6,chunks
BR FOODS,143,8,chunks
FUSION FOODS,132,11,"chunks, pulp"
PRODUCTORA ANDINA DE CONGELADOS SR,120,12,"chunks, iqf, pulp"
FRUTICAL,101,5,unknown
PROVISSO FOODS,72,3,unknown
GANDULES,72,3,unknown
HONEST FOODS,66,3,unknown
PM FRUITS,50,11,"chunks, pulp, unknown"
COTRINA EXPORTS EMPRESA INDIVIDUAL DE RESPONSABILIDAD COTRINA EXPORTS E IR,43,3,"chunks, cubes"
AMARA FOODS,39,3,"cubes, pulp"
TAVARI,34,2,"chunks, unknown"
PACHAMAMA FARMS,24,1,unknown
NORPERU COMPANY CV E IR,24,1,chunks
DARO Y ANSER,18,4,chunks
AGROINDUSTRIAS PEQUI,16,2,pulp
TRU MARKET BLOCKCHAIN,9,2,"chunks, unknown"
DEL PERU ASU MESA,6,2,chunks
SOLIMAR INDUSTRIA E IR,5,1,chunks
TANA FRUITS EXPORT E IR,5,2,unknown
LAMAS IMPORT EXPORT,4,1,pulp
