rank,exporter,aseptic_mt,shipments
1,MULTIFOODS S.A.C.,46231.92,2778
2,PROCESADORA LARAN SAC,34442.21,1699
3,QUICORNAC S.A.C.,14447.17,671
4,AGROMAR INDUSTRIAL S.A.,11833.5,372
5,SELVA INDUSTRIAL S.A.,11406.57,389
6,AGROINDUSTRIAS JAS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA-AGROINDUSTRIA JAS E.I.R.L.,8389.79,462
7,CAYNARACHI S.A.,7181.08,699
8,INKA CROPS S.A.,6769.07,1549
9,ASEPTIC PERUVIAN FRUIT S.A.,6558.75,713
10,AGROINDUSTRIAS AIB S.A,5372.64,255
11,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,3432.27,220
12,UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA,3328.4,341
13,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,3014.64,186
14,AGROFRUTOS TRADING S.A.,2803.13,132
15,LIMONES PIURANOS SOCIEDAD ANONIMA CERRAD,2011.8,74
16,LA CAMPIÑA PERU S.A.C.,1522.6,177
17,GLOBAL CITRUS INTERNATIONAL SOCIEDAD ANONIMA CERRADA,973.04,48
18,PIURA FOODS SOCIEDAD ANONIMA CERRADA - PIURA FOODS S.A.C.,879.09,1102
19,DELICIAS Y SABORES DEL PERU EIRL,862.81,85
20,SOLIMAR INDUSTRIA E.I.R.L.,735.42,57
21,AJEPROCESOS S.A.C.,663.56,21
22,VIRU S.A.,634.84,141
23,COOPERATIVA AGROINDUSTRIAL DEL PALMITO APROPAL LTDA.,541.29,54
24,JUICING EXPERTS S.A.C.,524.35,41
25,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,446.44,26
26,AGRO INDUSTRIAL SAN PEDRO S.A.C.,393.04,21
27,BELMONT FOODS PERU S.A.C.,375.14,54
28,GANDULES INC SAC,342.71,29
29,AGRICOLA EL TUNAL S.A. Y/O AGROTUNA S.A.,339.4,39
30,LA FORTALEZA DEL NORTE S.A.C.,279.69,18
31,SUNSHINE EXPORT S.A.C,273.6,13
32,AGRICOLA LOS MEDANOS S.A.,234.25,39
33,VEROBIO PERU S.A.C.,227.7,9
34,AGRO ALIMENTOS ANDINOS S.A.C.,194.99,25
35,PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.,185.83,15
36,WHITE LION NUTS S.A.C.,166.38,25
37,DANPER TRUJILLO S.A.C.,166.27,25
38,ICH CORP S.A.,127.5,20
39,ZOWI PERU SOCIEDAD ANONIMA CERRADA,119.04,115
40,FOOD PACK S.A.C,100.18,51
41,INDUSTRIAS AGRICOLAS SRL,91.84,107
42,NEGOCIOS AGRICOLAS SAN MARTIN S.A.C.,89.53,12
43,VIRÚ GROUP PERÚ S.A.,87.04,196
44,AZUMA FOODS KAMPO PERU S.A.C.,86.22,28
45,INDUSTRIAS ALIMENTARIAS S.A.C.,83.21,20
46,ANDES ALIMENTOS & BEBIDAS S.A.C.,80.92,27
47,IMPORTADORA Y EXPORTADORA DOÑA ISABEL E.,72.68,70
48,COMERCIALIZADORA DEL PERU A SU MESA S.A.C.,65.06,16
49,XPODEKA S.A.C.,60.0,3
50,SAMA FOOD PERÚ E.I.R.L.,56.52,36
