rank,exporter,frozen_mt,shipments
1,SUNSHINE EXPORT S.A.C,18387.61,1104
2,VIRU S.A.,16569.69,1215
3,VIRÚ GROUP PERÚ S.A.,16003.97,1247
4,CAMPOSOL S.A.,15862.05,735
5,AGROINDUSTRIAS AIB S.A,15812.53,825
6,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,14847.26,776
7,AGROINDUSTRIA FRUTOS DE ORO S.A.C.,13612.29,718
8,DOMINUS S.A.C,10147.12,555
9,FRUTÍCOLA OLMUÉ PERÚ S.A.C.,8330.28,426
10,QUICORNAC S.A.C.,6509.43,198
11,FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,6289.29,295
12,MEBOL GF S.A.C.,4261.12,334
13,AGRICOLA LOS MEDANOS S.A.,4206.94,280
14,DEL ANDE ALIMENTOS S.A.C.,3961.36,209
15,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,3912.28,190
16,ARA FOODS INDUSTRY S.A.C.,3684.14,208
17,MEBOL SAC,3217.62,317
18,AMARA FOODS S.A.C.,3140.35,297
19,AGROEMPAQUES S.A.,2936.49,154
20,DANPER TRUJILLO S.A.C.,2395.27,166
21,WESTFALIA FRUIT PERÚ S.A.C.,2274.04,118
22,AGROMAR INDUSTRIAL S.A.,2113.59,97
23,AGROVISION PERU S.A.C.,1928.8,91
24,FRUTOS TONGORRAPE SOCIEDAD ANONIMA,1899.62,152
25,FRUTICAL S.A.C.,1776.9,78
26,AGRO FROST S.A.C.,1695.41,108
27,UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA,1399.81,209
28,COMPLEJO AGROINDUSTRIAL BETA S.A.,1399.1,68
29,EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,1358.33,360
30,PROCESADORA LARAN SAC,1351.54,70
31,GRUPO TAVARI S.A.C.,1251.97,91
32,PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO,1246.84,103
33,SANTA SOFIA DEL SUR S.A.C.,949.1,40
34,CFRUITS PERU E.I.R.L.,717.79,29
35,V & F SAC,669.58,32
36,AGROFRUTOS TRADING S.A.,613.71,36
37,HONEST FOODS S.A.C.,593.19,34
38,ELITE FOOD PERU S.A.C.,549.69,119
39,SOCIEDAD MERCANTIL (EXPORTACION) SA,520.31,24
40,FUSION FOODS S.A.C.,442.16,128
41,PRODUCTORA ANDINA DE CONGELADOS S.R.L.,401.5,25
42,ANDEAN SUPERFOOD SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,353.9,43
43,PERUVIAN FOOD GROUPS SOCIEDAD ANONIMA CERRADA.,231.0,11
44,NATURANDINA DEL PERU S.A.C.,227.87,16
45,AGRICOLA CERRO PRIETO S.A.,223.13,12
46,NORPERU COMPANY CV E.I.R.L.,208.3,28
47,P & M FRUITS S.A.C.,197.98,47
48,IMPORTADORA Y EXPORTADORA DOÑA ISABEL E.,191.82,82
49,PROFRUIT INDUSTRY S.A.C.,163.97,7
50,COTRINA EXPORTS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - COTRINA EXPORTS E.I.R.L.,162.26,32
