Exporter;Fruit;Format;Average of Average Price (USD/MT);Sum of Volume (MT)
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA;;;2 430 USD/MT;4 754 MT
;avocado;;;
;;cubes;2 738 USD/MT;1 338 MT
;;slices;3 056 USD/MT;900 MT
;;chunks;2 494 USD/MT;193 MT
;;halves;1 977 USD/MT;83 MT
;;puree;2 201 USD/MT;24 MT
;;iqf;2 644 USD/MT;13 MT
;mango;;;
;;chunks;2 087 USD/MT;2 063 MT
;;cubes;1 608 USD/MT;59 MT
;;broken_pieces;1 300 USD/MT;23 MT
;;iqf;1 700 USD/MT;14 MT
;passion_fruit;;;
;;cubes;3 554 USD/MT;25 MT
;pomegranate;;;
;;cubes;3 800 USD/MT;20 MT
VIRU S.A.;;;1 876 USD/MT;4 708 MT
;mango;;;
;;chunks;1 848 USD/MT;2 063 MT
;;cubes;2 086 USD/MT;351 MT
;;halves;2 146 USD/MT;168 MT
;avocado;;;
;;cubes;3 193 USD/MT;1 409 MT
;;chunks;2 399 USD/MT;277 MT
;;halves;2 556 USD/MT;241 MT
;;broken_pieces;1 768 USD/MT;72 MT
;;slices;1 762 USD/MT;33 MT
;blueberry;;;
;;chunks;2 555 USD/MT;71 MT
;;whole;2 850 USD/MT;24 MT
;pineapple;;;
;;chunks;309 USD/MT;0 MT
;;pulp;1 713 USD/MT;0 MT
;acai;;;
;;pulp;1 509 USD/MT;0 MT
;banana;;;
;;slices;447 USD/MT;0 MT
;;whole;1 170 USD/MT;0 MT
;strawberry;;;
;;pulp;1 713 USD/MT;0 MT
QUICORNAC S.A.C.;;;1 050 USD/MT;3 497 MT
;mango;;;
;;puree;1 006 USD/MT;2 081 MT
;;concentrate;1 093 USD/MT;1 416 MT
AGROINDUSTRIAS AIB S.A;;;2 661 USD/MT;3 311 MT
;avocado;;;
;;pulp;2 765 USD/MT;1 660 MT
;;chunks;2 873 USD/MT;784 MT
;;halves;3 244 USD/MT;255 MT
;;cubes;3 173 USD/MT;86 MT
;;slices;3 299 USD/MT;30 MT
;;iqf;2 400 USD/MT;2 MT
;mango;;;
;;chunks;1 766 USD/MT;446 MT
;;iqf;1 765 USD/MT;48 MT
AMARA FOODS S.A.C.;;;1 943 USD/MT;2 878 MT
;avocado;;;
;;pulp;2 606 USD/MT;2 265 MT
;mango;;;
;;pulp;834 USD/MT;539 MT
;passion_fruit;;;
;;pulp;2 388 USD/MT;74 MT
FRUTÍCOLA OLMUÉ PERÚ S.A.C.;;;2 590 USD/MT;2 479 MT
;mango;;;
;;chunks;1 953 USD/MT;2 004 MT
;;iqf;3 008 USD/MT;163 MT
;;cubes;1 820 USD/MT;48 MT
;;broken_pieces;3 571 USD/MT;0 MT
;blueberry;;;
;;iqf;2 517 USD/MT;143 MT
;mix;;;
;;iqf;2 674 USD/MT;120 MT
AGROEMPAQUES S.A.;;;3 819 USD/MT;2 421 MT
;avocado;;;
;;chunks;2 834 USD/MT;1 651 MT
;;pulp;4 804 USD/MT;770 MT
VIRÚ GROUP PERÚ S.A.;;;2 374 USD/MT;1 366 MT
;avocado;;;
;;cubes;3 375 USD/MT;824 MT
;;slices;2 100 USD/MT;164 MT
;;halves;2 037 USD/MT;77 MT
;;chunks;1 521 USD/MT;39 MT
;;broken_pieces;2 375 USD/MT;20 MT
;blueberry;;;
;;chunks;2 008 USD/MT;135 MT
;;whole;1 776 USD/MT;24 MT
;mango;;;
;;chunks;1 435 USD/MT;55 MT
;;cubes;2 607 USD/MT;16 MT
;;halves;2 530 USD/MT;1 MT
;acai;;;
;;pulp;1 128 USD/MT;7 MT
;;chunks;150 USD/MT;0 MT
;pineapple;;;
;;pulp;619 USD/MT;3 MT
;;chunks;1 127 USD/MT;0 MT
;strawberry;;;
;;whole;5 333 USD/MT;0 MT
;;halves;5 333 USD/MT;0 MT
;;slices;5 333 USD/MT;0 MT
;banana;;;
;;slices;1 946 USD/MT;0 MT
AGROINDUSTRIA FRUTOS DE ORO S.A.C.;;;2 265 USD/MT;1 127 MT
;avocado;;;
;;iqf;2 580 USD/MT;766 MT
;;slices;2 522 USD/MT;59 MT
;;halves;2 431 USD/MT;22 MT
;;cubes;2 728 USD/MT;21 MT
;;chunks;2 581 USD/MT;14 MT
;;pulp;2 382 USD/MT;8 MT
;mango;;;
;;iqf;3 179 USD/MT;119 MT
;;chunks;1 573 USD/MT;116 MT
;;broken_pieces;1 672 USD/MT;2 MT
;blueberry;;;
;;iqf;1 000 USD/MT;0 MT
AGROMAR INDUSTRIAL S.A.;;;2 497 USD/MT;981 MT
;mango;;;
;;chunks;1 488 USD/MT;963 MT
;avocado;;;
;;halves;3 505 USD/MT;18 MT
PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO;;;861 USD/MT;828 MT
;mango;;;
;;chunks;1 463 USD/MT;746 MT
;;iqf;1 190 USD/MT;24 MT
;;halves;1 025 USD/MT;5 MT
