fruit_name,Exporter,format_type,Shipments,Avg Price USD/MT,Median Price USD/MT,Std Dev,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Destination Countries,Organic,IQF,Certifications
acai,VIRU S.A.,pulp,8,1508.75,1170.0,1198.26,567.5,3400.0,0.03,"France, Ireland, Slovenia, Spain",No,No,
acai,VIRU S.A.,unknown,2,325.84,325.84,93.1,260.0,391.67,0.01,Spain,No,No,
acai,VIRÚ GROUP PERÚ S.A.,chunks,1,150.0,150.0,,150.0,150.0,0.01,Spain,No,No,
acai,VIRÚ GROUP PERÚ S.A.,pulp,7,1128.24,602.0,1468.96,2.0,4280.0,6.77,"Spain, Sweden",No,No,
acai,VIRÚ GROUP PERÚ S.A.,unknown,11,284.12,330.0,143.3,2.0,545.45,0.1,"Spain, Sweden",No,No,
avocado,AGRICOLA CERRO PRIETO S.A.,unknown,2,3111.96,3111.96,87.62,3050.0,3173.91,19.87,France,No,No,
avocado,AGRICOLA LOS MEDANOS S.A.,halves,6,2650.0,2650.0,0.0,2650.0,2650.0,121.24,"Belgium, Spain, United Kingdom",No,No,
avocado,AGRICOLA LOS MEDANOS S.A.,iqf,2,2500.0,2500.0,565.69,2100.0,2900.0,39.35,Belgium,Yes,Yes,organic
avocado,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,chunks,10,2493.6,2476.52,107.14,2320.71,2687.5,192.6,"France, Netherlands, Spain",No,No,
avocado,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,cubes,65,2764.99,2651.15,200.05,2400.0,3200.0,1327.79,"Belgium, France, Netherlands, Spain, United Kingdom",No,Yes,
avocado,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,halves,6,1977.06,2160.02,1028.5,833.33,2900.13,82.63,"Belgium, Spain, United Kingdom",No,No,
avocado,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,iqf,1,2644.46,2644.46,,2644.46,2644.46,13.0,France,No,Yes,
avocado,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,puree,1,2201.29,2201.29,,2201.29,2201.29,24.0,Netherlands,No,No,
avocado,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,slices,41,3055.68,3070.0,280.58,1846.67,3313.33,899.51,"Belgium, Spain, United Kingdom",No,Yes,
avocado,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,unknown,19,3693.52,2437.5,4103.93,2000.0,20000.0,347.02,"Belgium, Denmark, France, Netherlands, United Kingdom",No,No,
avocado,AGRO FROST S.A.C.,chunks,3,2640.0,2680.0,78.1,2550.0,2690.0,28.46,Spain,No,No,
avocado,AGRO FROST S.A.C.,cubes,3,2706.67,2680.0,46.19,2680.0,2760.0,35.14,Spain,No,No,
avocado,AGRO FROST S.A.C.,halves,12,2507.64,2550.0,164.42,2011.67,2680.0,120.4,"Belgium, Spain, United Kingdom",No,No,
avocado,AGRO FROST S.A.C.,puree,1,1990.0,1990.0,,1990.0,1990.0,24.0,Belgium,No,No,
avocado,AGRO FROST S.A.C.,slices,5,2756.0,2830.0,101.39,2640.0,2830.0,35.65,"Belgium, Spain",No,No,
