fruit_name,Exporter,Total Volume MT,Avg Price USD/MT,Formats
acai,VIRÚ GROUP PERÚ S.A.,7.0,383.0,"chunks, pulp, unknown"
acai,VIRU S.A.,0.0,1272.0,"pulp, unknown"
avocado,SUNSHINE EXPORT S.A.C,6580.0,3020.0,"pulp, unknown"
avocado,AGROINDUSTRIAS AIB S.A,5051.0,2907.0,"chunks, cubes, halves, iqf, pulp, slices, unknown"
avocado,VIRÚ GROUP PERÚ S.A.,4575.0,3291.0,"broken_pieces, chunks, cubes, halves, slices, unknown"
avocado,VIRU S.A.,3994.0,2698.0,"broken_pieces, chunks, cubes, halves, slices, unknown"
avocado,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,2897.0,2902.0,"chunks, cubes, halves, iqf, puree, slices, unknown"
avocado,AGROEMPAQUES S.A.,2810.0,3383.0,"chunks, juice, pulp, unknown"
avocado,AGROINDUSTRIA FRUTOS DE ORO S.A.C.,2435.0,2662.0,"chunks, cubes, halves, iqf, pulp, slices, unknown"
avocado,AMARA FOODS S.A.C.,2287.0,2608.0,"pulp, unknown"
avocado,WESTFALIA FRUIT PERÚ S.A.C.,1533.0,2950.0,"cubes, iqf, pulp, unknown"
avocado,DOMINUS S.A.C,1404.0,2605.0,unknown
avocado,GRUPO TAVARI S.A.C.,1154.0,2880.0,"broken_pieces, chunks, halves, iqf, pulp, slices, unknown"
avocado,DANPER TRUJILLO S.A.C.,818.0,1990.0,unknown
avocado,ARA FOODS INDUSTRY S.A.C.,693.0,2933.0,"chunks, cubes, slices, unknown"
avocado,HONEST FOODS S.A.C.,503.0,2757.0,"chunks, pulp, puree, unknown"
avocado,CAMPOSOL S.A.,447.0,3258.0,unknown
avocado,DEL ANDE ALIMENTOS S.A.C.,283.0,2407.0,"chunks, cubes, puree, slices, unknown"
avocado,AGRO FROST S.A.C.,244.0,2579.0,"chunks, cubes, halves, puree, slices"
avocado,PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,172.0,2708.0,"chunks, cubes, halves, iqf, slices, unknown"
avocado,AGRICOLA LOS MEDANOS S.A.,161.0,2612.0,"halves, iqf"
