fruit_name,format_type,Records,Avg Price,Median Price,Min Price,Max Price,Total Volume MT,Exporters
acai,pulp,14,1121.0,832.0,2.0,3400.0,7.0,2
acai,unknown,13,291.0,330.0,2.0,545.0,0.0,2
acai,chunks,1,150.0,150.0,150.0,150.0,0.0,1
avocado,unknown,1474,2943.0,2964.0,0.0,20000.0,21527.0,25
avocado,pulp,330,2871.0,2680.0,5.0,76000.0,4979.0,9
avocado,cubes,235,3034.0,2999.0,40.0,5462.0,4022.0,13
avocado,chunks,221,2696.0,2774.0,1.0,4738.0,3869.0,17
avocado,slices,100,2639.0,3070.0,2.0,4532.0,1349.0,14
avocado,halves,97,2545.0,2850.0,2.0,9616.0,1114.0,15
avocado,iqf,92,2620.0,2680.0,16.0,3191.0,1258.0,10
avocado,puree,20,2253.0,2452.0,9.0,3370.0,366.0,6
avocado,broken_pieces,8,1956.0,2283.0,227.0,2665.0,131.0,3
avocado,juice,1,2750.0,2750.0,2750.0,2750.0,24.0,1
banana,slices,14,557.0,260.0,30.0,2128.0,6.0,5
banana,unknown,13,1791.0,1725.0,167.0,2800.0,35.0,6
banana,pulp,1,7400.0,7400.0,7400.0,7400.0,0.0,1
banana,whole,1,1170.0,1170.0,1170.0,1170.0,0.0,1
blueberry,unknown,705,2115.0,2224.0,2.0,5550.0,15394.0,23
blueberry,chunks,36,2392.0,2456.0,1621.0,2909.0,819.0,5
blueberry,whole,15,2161.0,2212.0,1040.0,2891.0,276.0,5
blueberry,iqf,12,2278.0,2350.0,1000.0,2650.0,263.0,4
camu_camu,unknown,7,52438.0,50000.0,46190.0,60623.0,0.0,2
camu_camu,pulp,1,8000.0,8000.0,8000.0,8000.0,0.0,1
cherimoya,pulp,2,5847.0,5847.0,5639.0,6056.0,1.0,1
golden_berry,unknown,4,4773.0,3333.0,425.0,12000.0,0.0,3
golden_berry,iqf,3,1023.0,90.0,30.0,2950.0,8.0,1
golden_berry,whole,1,3350.0,3350.0,3350.0,3350.0,8.0,1
grape,unknown,17,1058.0,1464.0,2.0,3432.0,147.0,5
lucuma,unknown,112,2519.0,2000.0,2.0,6110.0,7.0,14
lucuma,pulp,41,3727.0,3800.0,800.0,6318.0,67.0,8
lucuma,halves,2,1875.0,1875.0,1750.0,2000.0,0.0,1
mango,unknown,801,1772.0,1734.0,26.0,4581.0,15249.0,26
mango,chunks,593,1772.0,1830.0,1.0,4280.0,11520.0,29
mango,puree,71,1006.0,831.0,666.0,1586.0,2081.0,1
mango,cubes,37,1896.0,1845.0,50.0,2612.0,593.0,9
mango,pulp,32,1242.0,828.0,111.0,4287.0,563.0,7
mango,iqf,29,2152.0,2210.0,70.0,3572.0,517.0,9
mango,concentrate,22,1093.0,1079.0,866.0,1243.0,1416.0,1
mango,halves,18,1596.0,2022.0,2.0,3230.0,174.0,4
mango,broken_pieces,3,2181.0,1672.0,1300.0,3571.0,24.0,3
mango,strips,1,200.0,200.0,200.0,200.0,0.0,1
mix,iqf,5,2674.0,2680.0,2650.0,2680.0,120.0,1
mix,unknown,5,1893.0,667.0,150.0,4950.0,3.0,4
papaya,chunks,3,1521.0,1285.0,1280.0,2000.0,0.0,2
papaya,cubes,2,2245.0,2245.0,2242.0,2248.0,1.0,1
papaya,pulp,1,1805.0,1805.0,1805.0,1805.0,0.0,1
papaya,unknown,1,667.0,667.0,667.0,667.0,0.0,1
passion_fruit,pulp,48,2954.0,2699.0,250.0,6185.0,201.0,13
passion_fruit,unknown,40,2316.0,2335.0,243.0,3560.0,52.0,8
passion_fruit,cubes,4,3554.0,3547.0,3535.0,3588.0,25.0,1
passion_fruit,whole,4,1313.0,1314.0,1310.0,1314.0,1.0,1
passion_fruit,chunks,1,3600.0,3600.0,3600.0,3600.0,4.0,1
pineapple,chunks,19,1547.0,1000.0,5.0,4280.0,122.0,6
pineapple,unknown,18,1033.0,367.0,147.0,3500.0,120.0,7
pineapple,pulp,10,1283.0,1210.0,294.0,3400.0,4.0,5
pineapple,cubes,1,2248.0,2248.0,2248.0,2248.0,1.0,1
pitaya,unknown,1,1957.0,1957.0,1957.0,1957.0,0.0,1
pomegranate,cubes,1,3800.0,3800.0,3800.0,3800.0,20.0,1
soursop,pulp,9,2661.0,1626.0,1543.0,5985.0,8.0,4
soursop,unknown,3,1869.0,1700.0,557.0,3350.0,1.0,2
soursop,whole,2,1447.0,1447.0,1388.0,1506.0,0.0,1
strawberry,unknown,14,3467.0,748.0,26.0,19662.0,14.0,4
strawberry,pulp,3,1712.0,1170.0,568.0,3400.0,0.0,1
strawberry,halves,2,5333.0,5333.0,1050.0,9616.0,0.0,1
strawberry,slices,2,5333.0,5333.0,1050.0,9616.0,0.0,1
strawberry,whole,2,5333.0,5333.0,1050.0,9616.0,0.0,1
