fruit_name,Exporter,Shipments,Avg Price USD/MT,Median Price USD/MT,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Formats Offered
acai,VIRÚ GROUP PERÚ S.A.,19,588.06,330.0,2.0,4280.0,6.88,"chunks, pulp, unknown"
acai,VIRU S.A.,10,1272.17,897.5,260.0,3400.0,0.04,"pulp, unknown"
avocado,SUNSHINE EXPORT S.A.C,431,3019.64,3000.0,500.0,4410.0,6579.81,"pulp, unknown"
avocado,AGROINDUSTRIAS AIB S.A,285,2915.84,2924.85,1000.0,4000.0,5029.81,"chunks, cubes, halves, iqf, pulp, slices, unknown"
avocado,VIRÚ GROUP PERÚ S.A.,343,3265.76,3238.43,2.0,19422.05,4543.36,"broken_pieces, chunks, cubes, halves, slices, unknown"
avocado,VIRU S.A.,295,2726.33,2960.0,100.0,5000.0,3978.97,"broken_pieces, chunks, cubes, halves, slices, unknown"
avocado,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,143,2914.88,2725.47,833.33,20000.0,2886.55,"chunks, cubes, halves, iqf, puree, slices, unknown"
avocado,AGROEMPAQUES S.A.,141,2889.92,2750.0,125.0,13431.11,2810.22,"chunks, juice, pulp, unknown"
avocado,AGROINDUSTRIA FRUTOS DE ORO S.A.C.,184,2688.41,2680.0,100.0,3671.36,2435.02,"chunks, cubes, halves, iqf, pulp, slices, unknown"
avocado,AMARA FOODS S.A.C.,205,2607.53,2634.15,5.0,4000.0,2287.37,"pulp, unknown"
avocado,WESTFALIA FRUIT PERÚ S.A.C.,78,2949.67,2890.0,1800.0,3262.69,1533.31,"cubes, iqf, pulp, unknown"
avocado,DOMINUS S.A.C,78,2605.4,2825.0,70.0,4019.87,1403.65,unknown
avocado,GRUPO TAVARI S.A.C.,79,2880.0,2850.0,1000.0,3990.0,1154.29,"broken_pieces, chunks, halves, iqf, pulp, slices, unknown"
avocado,DANPER TRUJILLO S.A.C.,74,1989.94,2289.26,0.2,4300.06,818.41,unknown
avocado,ARA FOODS INDUSTRY S.A.C.,41,2932.61,3000.0,142.86,3800.0,692.91,"chunks, cubes, slices, unknown"
avocado,HONEST FOODS S.A.C.,24,2958.62,2882.5,2477.67,3818.01,478.77,"chunks, pulp, puree, unknown"
avocado,CAMPOSOL S.A.,28,3257.9,3150.0,0.5,13785.38,446.98,unknown
avocado,DEL ANDE ALIMENTOS S.A.C.,15,2567.61,2651.62,1000.0,3339.88,283.41,"chunks, cubes, puree, slices, unknown"
