fruit_name,format_type,Shipments,Avg Price USD/MT,Median Price USD/MT,Min Price USD/MT,Max Price USD/MT,Total Volume MT,Number of Exporters
acai,pulp,15,1331.18,1040.0,2.0,4280.0,6.8,2
acai,unknown,13,290.54,330.0,2.0,545.45,0.1,2
acai,chunks,1,150.0,150.0,150.0,150.0,0.01,1
avocado,unknown,1474,2943.33,2963.7,0.2,20000.0,21527.45,25
avocado,pulp,329,2648.82,2679.11,5.0,4000.0,4978.71,9
avocado,cubes,227,3063.54,2998.71,1750.08,4577.84,3975.36,12
avocado,chunks,209,2835.12,2800.0,835.0,4738.17,3814.45,16
avocado,slices,100,2638.74,3070.0,2.0,4532.05,1349.47,14
avocado,iqf,89,2703.15,2688.67,2100.0,3190.85,1258.02,10
avocado,halves,96,2471.62,2844.0,2.0,4921.9,1114.22,15
avocado,puree,20,2253.2,2451.67,9.14,3370.0,365.86,6
avocado,broken_pieces,8,1955.61,2282.8,227.0,2664.63,131.42,3
avocado,juice,1,2750.0,2750.0,2750.0,2750.0,24.0,1
banana,unknown,13,1791.0,1725.09,166.67,2800.0,34.57,6
banana,slices,14,556.85,260.0,30.0,2127.88,6.1,5
banana,pulp,1,7400.0,7400.0,7400.0,7400.0,0.0,1
banana,whole,1,1170.0,1170.0,1170.0,1170.0,0.0,1
blueberry,unknown,705,2114.86,2224.02,2.0,5550.0,15394.35,23
blueberry,chunks,36,2392.27,2456.33,1621.37,2908.52,819.47,5
blueberry,whole,15,2161.48,2212.5,1040.0,2890.52,276.41,5
blueberry,iqf,11,2393.74,2349.97,2129.49,2650.0,263.22,3
camu_camu,unknown,7,52437.83,50000.0,46190.0,60623.0,0.27,2
camu_camu,pulp,1,8000.0,8000.0,8000.0,8000.0,0.1,1
cherimoya,pulp,2,5847.28,5847.28,5638.67,6055.89,0.65,1
golden_berry,iqf,3,1023.33,90.0,30.0,2950.0,8.01,1
golden_berry,whole,1,3350.0,3350.0,3350.0,3350.0,8.0,1
golden_berry,unknown,4,4772.92,3333.34,425.0,12000.0,0.01,3
grape,unknown,17,1057.89,1464.14,2.0,3431.71,147.05,5
lucuma,pulp,41,3726.85,3800.0,800.0,6318.28,67.36,8
lucuma,unknown,111,2486.16,2000.0,2.0,4970.0,6.92,14
lucuma,halves,2,1875.0,1875.0,1750.0,2000.0,0.35,1
mango,unknown,801,1772.48,1733.83,25.81,4580.75,15248.96,26
mango,chunks,592,1767.41,1830.0,1.0,3533.99,11519.72,29
mango,puree,71,1006.39,830.73,666.09,1586.0,2080.82,1
mango,concentrate,22,1092.64,1079.02,865.78,1242.57,1415.88,1
mango,cubes,35,1997.42,1850.0,1300.0,2612.5,593.17,7
mango,pulp,35,1576.97,827.89,111.11,5756.14,567.96,7
mango,iqf,29,2152.07,2210.0,70.0,3571.51,516.85,9
mango,halves,18,1595.5,2021.88,2.0,3229.93,173.58,4
mango,broken_pieces,3,2181.17,1672.09,1300.0,3571.43,24.11,3
mango,strips,1,200.0,200.0,200.0,200.0,0.0,1
mix,iqf,5,2674.0,2680.0,2650.0,2680.0,120.0,1
mix,unknown,5,1892.67,666.67,150.0,4950.0,3.01,4
papaya,cubes,2,2244.98,2244.98,2242.17,2247.79,1.15,1
papaya,pulp,1,1804.63,1804.63,1804.63,1804.63,0.35,1
papaya,chunks,3,1521.44,1284.51,1280.0,1999.8,0.34,2
papaya,unknown,1,666.67,666.67,666.67,666.67,0.0,1
passion_fruit,pulp,49,3025.26,2800.0,250.0,6454.35,200.58,13
passion_fruit,unknown,39,2369.31,2370.0,625.0,3559.79,52.28,8
passion_fruit,cubes,4,3554.04,3546.74,3534.89,3587.76,25.27,1
passion_fruit,chunks,1,3599.71,3599.71,3599.71,3599.71,4.41,1
passion_fruit,whole,4,1313.14,1314.14,1310.0,1314.29,1.29,1
pineapple,chunks,19,1546.84,1000.0,5.0,4280.0,121.68,6
pineapple,unknown,18,1032.96,366.66,147.06,3500.01,120.08,7
pineapple,pulp,10,1283.47,1210.0,293.51,3400.0,4.46,5
pineapple,cubes,1,2247.8,2247.8,2247.8,2247.8,1.26,1
pitaya,unknown,1,1957.14,1957.14,1957.14,1957.14,0.01,1
pomegranate,cubes,1,3800.05,3800.05,3800.05,3800.05,20.0,1
soursop,pulp,9,2661.34,1625.62,1542.86,5984.75,7.54,4
soursop,unknown,3,1869.05,1700.0,557.14,3350.0,0.94,2
soursop,whole,2,1447.01,1447.01,1388.0,1506.02,0.09,1
strawberry,unknown,14,3466.62,748.34,25.81,19661.54,13.75,4
strawberry,halves,2,5333.1,5333.1,1050.0,9616.21,0.06,1
strawberry,slices,2,5333.1,5333.1,1050.0,9616.21,0.06,1
strawberry,whole,2,5333.1,5333.1,1050.0,9616.21,0.06,1
strawberry,pulp,3,1712.5,1170.0,567.5,3400.0,0.01,1
