Exporter,format_type,acai,avocado,banana,blueberry,camu_camu,cherimoya,golden_berry,grape,lucuma,mango,mix,papaya,passion_fruit,pineapple,pitaya,pomegranate,soursop,strawberry
AGC IMPORTACIONES S.A.C.,unknown,,,,,,,9000.0,,,,,,,,,,,
AGRICOLA CERRO PRIETO S.A.,unknown,,3111.96,,,,,,,,,,,,,,,,
AGRICOLA LOS MEDANOS S.A.,halves,,2650.0,,,,,,,,,,,,,,,,
AGRICOLA LOS MEDANOS S.A.,iqf,,2500.0,,,,,,,,,,,,,,,,
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,broken_pieces,,,,,,,,,,1300.0,,,,,,,,
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,chunks,,2476.52,,,,,,,,1851.29,,,,,,,,
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,cubes,,2651.15,,,,,,,,1643.81,,,3546.74,,,3800.05,,
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,halves,,2160.02,,,,,,,,,,,,,,,,
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,iqf,,2644.46,,,,,,,,1700.0,,,,,,,,
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,puree,,2201.29,,,,,,,,,,,,,,,,
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,slices,,3070.0,,,,,,,,,,,,,,,,
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,unknown,,2437.5,,,,,,,,1600.0,,,3558.39,,,,,
AGRO FROST S.A.C.,chunks,,2680.0,,,,,,,,1720.48,,,,,,,,
AGRO FROST S.A.C.,cubes,,2680.0,,,,,,,,,,,,,,,,
AGRO FROST S.A.C.,halves,,2550.0,,,,,,,,,,,,,,,,
AGRO FROST S.A.C.,puree,,1990.0,,,,,,,,,,,,,,,,
AGRO FROST S.A.C.,slices,,2830.0,,,,,,,,,,,,,,,,
AGRO FROST S.A.C.,unknown,,,,2100.0,,,,,,,,,,,,,,
AGROEMPAQUES S.A.,chunks,,2750.0,,,,,,,,,,,,,,,,
AGROEMPAQUES S.A.,juice,,2750.0,,,,,,,,,,,,,,,,
AGROEMPAQUES S.A.,pulp,,2750.0,,,,,,,,,,,,,,,,
AGROEMPAQUES S.A.,unknown,,2765.0,,2190.0,,,,,,,,,,,,,,
AGROFRUTOS TRADING S.A.,chunks,,,,,,,,,,1650.32,,,,,,,,
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,broken_pieces,,,,,,,,,,1672.09,,,,,,,,
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,chunks,,2581.04,,,,,,,,1581.27,,,,,,,,
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,cubes,,2753.86,,,,,,,,,,,,,,,,
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,halves,,2935.32,,,,,,,,,,,,,,,,
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,iqf,,2680.0,,,,,,,,3279.74,,,,,,,,
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,pulp,,2382.09,,,,,,,,,,,,,,,,
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,slices,,2850.0,,,,,,,,,,,,,,,,
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,unknown,,2680.0,,,,,,,,1733.96,,,,,,,,
AGROINDUSTRIAL ESTANISLAO DEL CHIMU S.A.C.,unknown,,3050.0,,,,,,,,,,,,,,,,
AGROINDUSTRIAS AIB S.A,chunks,,2900.0,,,,,,,,1800.0,,,,,,,,
AGROINDUSTRIAS AIB S.A,cubes,,3210.0,,,,,,,,,,,,,,,,
AGROINDUSTRIAS AIB S.A,halves,,3250.0,,,,,,,,,,,,,,,,
AGROINDUSTRIAS AIB S.A,iqf,,2400.0,,,,,,,,1765.0,,,,,,,,
AGROINDUSTRIAS AIB S.A,pulp,,2750.0,,,,,,,,,,,,,,,,
AGROINDUSTRIAS AIB S.A,slices,,3320.0,,,,,,,,,,,,,,,,
AGROINDUSTRIAS AIB S.A,unknown,,3037.85,,,,,,,,1750.0,,,,,,,,
AGROINDUSTRIAS CRIAL S.A.C.,pulp,,,7400.0,,,,,,,,,,1500.0,1500.0,,,,
AGROMANIA SAC,unknown,,,,,,,,,3900.0,,,,,,,,,
AGROMAR INDUSTRIAL S.A.,chunks,,,,,,,,,,1624.1,,,,,,,,
AGROMAR INDUSTRIAL S.A.,halves,,3504.94,,,,,,,,,,,,,,,,
AGROMAR INDUSTRIAL S.A.,unknown,,,,,,,,,,2000.0,,,,,,,,
AGROVISION PERU S.A.C.,unknown,,,,1199.87,,,,,,,,,,,,,,
ALIMENTOS HIMALAYA PERU E.I.R.L.,pulp,,,,,,,,,,250.0,,,250.0,,,,,
AMARA FOODS S.A.C.,pulp,,2630.07,,,,,,,,818.22,,,2500.0,,,,,
AMARA FOODS S.A.C.,unknown,,2745.34,,,,,,,,,,,,,,,,
ANDEAN PARTNER FOOD S.A.C.,strips,,,,,,,,,,200.0,,,,,,,,
ANDEAN PARTNER FOOD S.A.C.,unknown,,,,,,,,,,,,,,200.0,,,,
ANDES TRADERS S.A.C.,chunks,,,,,,,,,,1142.0,,,,1142.0,,,,
ANDES TRADERS S.A.C.,pulp,,,,,,,,,,1142.0,,,,1142.0,,,,
ARA FOODS INDUSTRY S.A.C.,chunks,,2900.0,,,,,,,,1706.41,,,,,,,,
ARA FOODS INDUSTRY S.A.C.,cubes,,2950.0,,,,,,,,,,,,,,,,
ARA FOODS INDUSTRY S.A.C.,slices,,2965.0,,,,,,,,,,,,,,,,
ARA FOODS INDUSTRY S.A.C.,unknown,,3000.0,,,,,,,,2262.5,,,,,,,,
BLOSSOM TRAINER PERU S.A.C.,unknown,,,,,,,,,,,,,2470.0,,,,,
CAMPOSOL S.A.,unknown,,3150.0,,2312.09,,,,,,1695.41,,,,,1957.14,,,
COMPLEJO AGROINDUSTRIAL BETA S.A.,chunks,,,,2150.0,,,,,,,,,,,,,,
COMPLEJO AGROINDUSTRIAL BETA S.A.,unknown,,,,2060.0,,,,,,,,,,,,,,
CORPORACION ESPIN E.I.R.L.,unknown,,,,,,,,,3300.0,,,,,,,,,
DANPER TRUJILLO S.A.C.,unknown,,2289.26,,2375.13,,,,,,1903.84,,,,,,,,
DEL ANDE ALIMENTOS S.A.C.,chunks,,2917.94,,,,,,,,1266.66,,,,,,,,
DEL ANDE ALIMENTOS S.A.C.,cubes,,2952.94,,,,,,,,1650.0,,,,,,,,
DEL ANDE ALIMENTOS S.A.C.,puree,,2348.67,,,,,,,,,,,,,,,,
DEL ANDE ALIMENTOS S.A.C.,slices,,3154.94,,,,,,,,,,,,,,,,
DEL ANDE ALIMENTOS S.A.C.,unknown,,1000.0,,2085.8,,,,,2.0,,,,,,,,,
DOMINUS S.A.C,chunks,,,,,,,,,,1719.21,,,,,,,,
DOMINUS S.A.C,unknown,,2825.0,1338.32,2328.38,,,,1523.14,,1738.33,,,,,,,,
EMPRESA AGRARIA CAFETALERA CHANCHAMAYO H,pulp,,,,,,,,,,,,,4671.7,,,,,
EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,chunks,,,,,,,,,,2300.02,,,,2185.35,,,,
EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,cubes,,3349.6,,,,,,,,2001.2,,2244.98,,2247.8,,,,
EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,halves,,3413.85,,,,,,,,,,,,,,,,
EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,iqf,,,,,,,,,,2251.46,,,,,,,,
EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,pulp,,500.0,,,,,,,3746.5,1700.0,,,3600.0,,,,5984.75,
EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,slices,,3518.82,1890.86,,,,,,,,,,,,,,,
EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D,unknown,,2706.88,,2041.94,,,,,,2341.94,,,,,,,,
