Producto,Precio LOW,Precio MID,Precio HIGH,Total Export MT
avocado,2688.36,2890.0,3147.14,23761.86
mango,1700.0,1800.0,1950.04,22030.12
blueberry,2174.2,2311.95,2472.27,12981.76
pineapple,2296.03,3150.0,3300.0,194.52
grape,1474.33,1533.36,1545.07,143.68
mix,2680.0,2680.0,2680.0,120.0
passion_fruit,2208.34,2965.45,3546.74,110.61
lucuma,2922.05,4000.0,4277.19,27.76
pomegranate,3800.05,3800.05,3800.05,20.0
strawberry,3000.85,3000.85,3000.85,13.6
banana,2295.91,2800.0,2800.0,8.46
soursop,1612.81,1700.0,4149.43,8.42
golden_berry,2950.0,2950.0,2950.0,8.0
papaya,2023.4,2242.17,2244.98,1.5
cherimoya,5638.67,5638.67,5638.67,0.15
