;Fruit;Company;Clean Format;Sum of Volume;Average of Price
;mango;;;;
Mango;;AGROINDUSTRIA FRUTOS DE ORO S.A.C.;;;
;;;Unknown;10 090 MT;1 836 USD/MT
;;;(blank);1 191 MT;2 370 USD/MT
;;;Chunks;208 MT;1 779 USD/MT
;;;Cubes;44 MT;1 831 USD/MT
;;;Broken Pieces;2 MT;1 672 USD/MT
;;;;;
;;AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA;;;
;;;Chunks;8 998 MT;2 141 USD/MT
;;;Cubes;1 587 MT;2 011 USD/MT
;;;Unknown;366 MT;2 854 USD/MT
;;;(blank);38 MT;1 800 USD/MT
;;;Broken Pieces;23 MT;1 300 USD/MT
;;;;;
;;VIRU S.A.;;;
;;;Chunks;5 716 MT;2 001 USD/MT
;;;Unknown;4 138 MT;1 932 USD/MT
;;;Cubes;538 MT;2 027 USD/MT
;;;Halves;191 MT;2 181 USD/MT
;;;;;
;;VIRÚ GROUP PERÚ S.A.;;;
;;;Unknown;5 484 MT;2 011 USD/MT
;;;Chunks;2 925 MT;2 072 USD/MT
;;;Cubes;34 MT;2 046 USD/MT
;;;Halves;18 MT;2 479 USD/MT
;;;;;
;;FRUTÍCOLA OLMUÉ PERÚ S.A.C.;;;
;;;Chunks;7 340 MT;2 393 USD/MT
;;;Cubes;380 MT;1 863 USD/MT
;;;(blank);328 MT;2 859 USD/MT
;;;Broken Pieces;271 MT;1 879 USD/MT
;;;;;
Mango;;SUNSHINE EXPORT S.A.C;;;
;;;Unknown;7 488 MT;2 162 USD/MT
;;;Chunks;40 MT;1 757 USD/MT
;;;;;
;;QUICORNAC S.A.C.;;;
;;;Pulp;4 679 MT;1 277 USD/MT
;;;(blank);1 845 MT;1 089 USD/MT
;;;Unknown;31 MT;1 281 USD/MT
;;;;;
;;DOMINUS S.A.C;;;
;;;Unknown;5 800 MT;1 234 USD/MT
;;;Chunks;567 MT;1 987 USD/MT
;;;Halves;9 MT;1 350 USD/MT
;;;;;
;;AGROINDUSTRIAS AIB S.A;;;
;;;Unknown;4 940 MT;2 064 USD/MT
;;;Chunks;1 164 MT;2 033 USD/MT
;;;Cubes;143 MT;2 264 USD/MT
;;;Pulp;72 MT; 887 USD/MT
;;;(blank);54 MT;2 065 USD/MT
;;;;;
;;FRUTOS TROPICALES PERU EXPORT SOCIEDAD A;;;
;;;Unknown;5 393 MT;1 944 USD/MT
;;;Chunks;217 MT;1 979 USD/MT
;;;(blank);46 MT;3 162 USD/MT
;;;Cubes;23 MT;3 159 USD/MT
;;;;;
;;CAMPOSOL S.A.;;;
;;;Unknown;4 774 MT;1 913 USD/MT
;;;;;
;;"""IMPORTADORA";;;
;;;Unknown;3 843 MT;#DIV/0!
;;;;;
Mango;;DEL ANDE ALIMENTOS S.A.C.;;;
;;;Chunks;3 138 MT;1 769 USD/MT
;;;Cubes;146 MT;2 393 USD/MT
;;;Pulp;2 MT;1 760 USD/MT
;;;Unknown;0 MT;1 000 USD/MT
;;;;;
;;AGRICOLA LOS MEDANOS S.A.;;;
;;;Chunks;1 706 MT;2 414 USD/MT
;;;Unknown;1 544 MT;2 317 USD/MT
;;;Cubes;0 MT;1 747 USD/MT
;;;(blank);0 MT;2 000 USD/MT
;;;;;
;;MEBOL GF S.A.C.;;;
;;;Chunks;1 713 MT;2 553 USD/MT
;;;Unknown;1 506 MT;2 600 USD/MT
;;;Pulp;2 MT;2 530 USD/MT
;;;;;
;;PROCESADORA PERU SOCIEDAD ANONIMA CERRADA;;;
;;;Chunks;1 782 MT;1 893 USD/MT
;;;Unknown;1 264 MT;2 177 USD/MT
;;;Slices;71 MT;3 406 USD/MT
;;;Halves;57 MT;1 800 USD/MT
;;;;;
;;ARA FOODS INDUSTRY S.A.C.;;;
;;;Chunks;1 714 MT;2 090 USD/MT
;;;Unknown;685 MT;2 021 USD/MT
;;;;;
;;AGROMAR INDUSTRIAL S.A.;;;
;;;Chunks;2 042 MT;1 699 USD/MT
;;;Unknown;14 MT;2 000 USD/MT
;;;Cubes;0 MT; 111 USD/MT
;;;;;
Mango;;MEBOL SAC;;;
;;;Chunks;1 255 MT;2 443 USD/MT
;;;Unknown;652 MT;1 466 USD/MT
;;;Cubes;4 MT;1 800 USD/MT
;;;Halves;0 MT; 850 USD/MT
;;;;;
;;FRUTOS TONGORRAPE SOCIEDAD ANONIMA;;;
;;;Chunks;858 MT;1 682 USD/MT
;;;(blank);345 MT;1 737 USD/MT
;;;Halves;183 MT;1 612 USD/MT
;;;Cubes;117 MT;2 122 USD/MT
;;;Unknown;0 MT; 177 USD/MT
;;;;;
;;PULPAS Y PROCESADOS DEL AGRO SOCIEDAD ANONIMA-PULPAGRO;;;
;;;Chunks;981 MT;1 496 USD/MT
;;;(blank);300 MT;1 653 USD/MT
;;;Halves;5 MT;1 025 USD/MT
;;;Cubes;0 MT; 420 USD/MT
;;;Unknown;0 MT; 183 USD/MT
;;;Pulp;0 MT; 120 USD/MT
;;;;;
;;PROCESADORA LARAN SAC;;;
;;;Chunks;1 121 MT;1 803 USD/MT
;;;Unknown;76 MT;1 227 USD/MT
;;;;;
Mango;;SANTA SOFIA DEL SUR S.A.C.;;;
;;;Unknown;804 MT;1 558 USD/MT
;;;Chunks;144 MT;1 563 USD/MT
;;;;;
;;CFRUITS PERU E.I.R.L.;;;
;;;Unknown;774 MT;1 681 USD/MT
;;;;;
;;DANPER TRUJILLO S.A.C.;;;
;;;Unknown;765 MT;2 012 USD/MT
;;;;;
;;WESTFALIA FRUIT PERÚ S.A.C.;;;
;;;Unknown;636 MT;1 353 USD/MT
