Producto,Precio LOW,Precio MID,Precio HIGH,Total Export MT
mango,1740.0,1854.41,2081.51,86217.84
avocado,2700.0,2960.0,3270.0,34783.06
blueberry,2180.25,2345.5,2524.81,19261.7
grape,1520.0,1905.38,2022.79,2000.97
passion_fruit,2809.62,3086.5,3600.0,1792.7
pineapple,2250.0,2670.0,3150.0,1389.42
mix,2665.0,3150.0,3310.0,858.24
pomegranate,3600.0,3700.0,4017.68,615.57
strawberry,2274.53,2950.05,3100.0,462.33
lucuma,3730.0,4200.0,4481.99,251.01
cherimoya,3050.0,3250.0,3979.97,248.25
papaya,2304.77,2877.93,3000.0,230.04
banana,1800.0,2800.0,2800.0,48.2
soursop,3012.15,3750.0,3969.59,24.17
orange,2641.5,2653.0,2664.5,23.47
camu_camu,3600.0,3700.0,3800.0,22.96
golden_berry,2300.0,2700.0,2865.47,12.45
acai,10900.0,10900.0,10900.0,3.2
pitaya,4300.0,4300.0,5125.0,1.57
