Exporter,Total Export MT
VIRU S.A.,16937.78
SUNSHINE EXPORT S.A.C,14797.32
CAMPOSOL S.A.,13113.43
AGROINDUSTRIAS AIB S.A,12484.24
AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,12321.95
AGROINDUSTRIA FRUTOS DE ORO S.A.C.,11741.71
VIRÚ GROUP PERÚ S.A.,10286.47
DOMINUS S.A.C,8920.16
FRUTÍCOLA OLMUÉ PERÚ S.A.C.,7419.15
QUICORNAC S.A.C.,5949.27
FRUTOS TROPICALES PERU EXPORT SOCIEDAD A,4851.7
PROCESADORA PERU SOCIEDAD ANONIMA CERRADA,3797.14
DEL ANDE ALIMENTOS S.A.C.,3637.51
AGRICOLA LOS MEDANOS S.A.,3364.86
ARA FOODS INDUSTRY S.A.C.,2896.19
MEBOL SAC,2884.02
MEBOL GF S.A.C.,2762.03
AMARA FOODS S.A.C.,2218.2
AGROEMPAQUES S.A.,2184.02
DANPER TRUJILLO S.A.C.,2061.84
